1,BanWord
2,10새끼
3,10새야
4,10색이
5,10색히
6,10세기야
7,10섹
8,10쉑
9,10알
10,10알년
11,10알놈
12,10알뇬
13,10팔색
14,10팔섹
15,10팔쉑
16,10펄년
17,10할년
18,18nom
19,18num
20,18넘
21,18년
22,18년아
23,18놈
24,18뇬
25,18새끼
26,18색히
27,18세끼
28,18세키
29,18섹키
30,18섹히
31,2c8
32,2c팔
33,2씨8
34,4까C
35,4까시
36,69전문
37,ac발
38,adult
39,anal
40,ass
41,asshole
42,bacastv
43,backboji
44,bastard
45,bdsm
46,beaber
47,bentbastard
48,bitch
49,blob
50,boji
51,bojy
52,boob
53,bozi
54,bozy
55,bo지
56,bo지물
57,bo지털
58,byuntae
59,c8
60,c818
61,c8c8
62,cibal
63,cock
64,condem
65,condom
66,cunt
67,c발
68,c발넘
69,c발년
70,c발놈
71,c발뇬
72,c발색
73,c발섹
74,c발쉑
75,c벌
76,c벌넘
77,c벌년
78,c벌놈
79,c벌뇬
80,c빨
81,c팔
82,ddr
83,dickhead
84,dike
85,dildo
86,dogbaby
87,dogfucker
88,ecstasy
89,faggot
90,fetish
91,fuck
92,fuckhead
93,fucking
94,fuckingasshole
95,fuckingbastard
96,fuckoff
97,fucku
98,fuckup
99,fuckyou
100,fuck-you
101,gay
102,hentai
103,horny
104,jaji
105,jaji털
106,jawe
107,jawi
108,jazi
109,jazy
110,ja위
111,ja지
112,jgirls
113,ji랄
114,ji럴
115,jot
116,lesbian
117,lesbien
118,Masturbati
119,Masturbation
120,meatpuppet
121,me췬
122,me친
123,me틴
124,mi친
125,mi틴
126,molca
127,nigimi
128,nimi
129,nude
130,oral
131,penis
132,poof
133,porno
134,pussy
135,sausagejockey
136,sex
137,sex하자
138,sex해
139,sibal
140,sipal
141,sival
142,si발
143,si벌
144,si부랄
145,si부럴
146,si빨
147,si팔
148,si펄
149,slave
150,slut
151,snatch
152,ssibal
153,ssival
154,suck
155,sucker
156,suicide
157,swaping
158,twat
159,uck
160,uckyou
161,unclefucker
162,wanker
163,weewee
164,x녀
165,x놈
166,x물
167,x발
168,x섹스
169,x위
170,x지
171,x터시
172,x털
173,x한
174,x할
